DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMPQ,PC_ENT,SK,2017,20.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMPQ,PC_ENT_CUSE,ES,2017,24.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMPQ,PC_ENT_CUSE,SE,2017,19.6,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMPQ,PC_ENT_CUSE,SK,2017,25.9,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMPQ,PC_ENT_INV3SBG,ES,2017,37.2,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMPQ,PC_ENT_INV3SBG,SE,2017,25.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMPQ,PC_ENT_INV3SBG,SK,2017,31.9,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMP_GT0,PC_ENT,ES,2017,35.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMP_GT0,PC_ENT,SE,2017,48.9,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMP_GT0,PC_ENT,SK,2017,58.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMP_GT0,PC_ENT_CUSE,ES,2017,50.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMP_GT0,PC_ENT_CUSE,SE,2017,54.4,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMP_GT0,PC_ENT_CUSE,SK,2017,72.9,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMP_GT0,PC_ENT_INV3SBG,ES,2017,77.2,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMP_GT0,PC_ENT_INV3SBG,SE,2017,71.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMP_GT0,PC_ENT_INV3SBG,SK,2017,89.6,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3_AP,PC_ENT,ES,2017,8.4,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3_AP,PC_ENT,SE,2017,25.3,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3_AP,PC_ENT,SK,2017,28.2,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3_AP,PC_ENT_CUSE,ES,2017,11.9,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3_AP,PC_ENT_CUSE,SE,2017,28.1,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3_AP,PC_ENT_CUSE,SK,2017,35.1,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3_NAPQ,PC_ENT,ES,2017,62.0,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3_NAPQ,PC_ENT,SE,2017,64.6,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3_NAPQ,PC_ENT,SK,2017,40.3,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3_NAPQ,PC_ENT_CUSE,ES,2017,88.1,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3_NAPQ,PC_ENT_CUSE,SE,2017,71.9,
